name,url,brand,price,rating,shipping
Women Summer Casual Short Sleeve Dresses Empire Waist Dress with Pockets,https://www.amazon.com/DB-MOON-Womens-Dresses-Pockets/dp/B07RHR7MRS/ref=sr_1_1_sspa?keywords=Women%27s+Dresses&qid=1655782717&s=apparel&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyU1Q5UERCNkwyTVdPJmVuY3J5cHRlZElkPUEwMzU5NDc5M1VDSUdHQlg5UVVSUCZlbmNyeXB0ZWRBZElkPUEwMzE2NzU3SlRYRFVISUJENFZJJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,DB MOON ,24.99,4.2,0
Women's Cotton Jersey Sleeveless Swim Cover-up Dress,https://www.amazon.com/Lands-End-Sleeveless-Cover-up-Embroidered/dp/B09QQMZV18/ref=sr_1_2?keywords=Women%27s+Dresses&qid=1655782717&s=apparel&sr=1-2,Lands' End,24.72,4.4,0
Women’s Summer Dress Sleeveless Ruffle Sleeve Round Neck Mini Dress Solid Color Loose Fit Short Flowy Pleated Dress,https://www.amazon.com/KIRUNDO-Womens-Summer-Sleeveless-Pleated/dp/B082KBTR2T/ref=sr_1_3?keywords=Women%27s+Dresses&qid=1655782717&s=apparel&sr=1-3,KIRUNDO,36.99,4,0
Women Short Sleeve Print Dress V Neck Casual Short Dresses,https://www.amazon.com/Relipop-Summer-Sleeve-Casual-Dresses/dp/B07FDYF3FC/ref=sr_1_4?keywords=Women%27s+Dresses&qid=1655782717&s=apparel&sr=1-4,Relipop Summer,27.99,4.1,0
Women's 1950s Retro Vintage Spaghetti Strap Cocktail Swing Dresses with Pockets,https://www.amazon.com/GOOBGS-Vintage-Spaghetti-Cocktail-Dresses/dp/B08TWHGTSH/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994%3Aamzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994&cv_ct_cx=Women%27s+Dresses&keywords=Women%27s+Dresses&pd_rd_i=B08TWHGTSH&pd_rd_r=ecc89f82-5f10-46a1-8934-cc29e820a2d4&pd_rd_w=dEa0S&pd_rd_wg=dzG29&pf_rd_p=d1fd426d-2f41-437f-ba6a-3db594187994&pf_rd_r=TYAYDBJPABAJBRFDFX5K&psc=1&qid=1655782717&s=apparel&sr=1-1-59a9a4b2-9534-4046-a9d7-41f10137170d-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyU1Q5UERCNkwyTVdPJmVuY3J5cHRlZElkPUEwMDk1Mjk5MzFMN1JPQUNEQzg1TCZlbmNyeXB0ZWRBZElkPUEwODkxNjEyMk9SMUxPVFIyNFVETiZ3aWRnZXROYW1lPXNwX3NlYXJjaF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,GOOBGS,33.99,4,0
Short Sleeve Floral Maxi Dresses Cold Shoulder Dress with Pockets,https://www.amazon.com/Kancystore-Shoulder-Dresses-Pockets-Blue_XXL/dp/B07QM5LS3R/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994%3Aamzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994&cv_ct_cx=Women%27s+Dresses&keywords=Women%27s+Dresses&pd_rd_i=B07QM5LS3R&pd_rd_r=ecc89f82-5f10-46a1-8934-cc29e820a2d4&pd_rd_w=dEa0S&pd_rd_wg=dzG29&pf_rd_p=d1fd426d-2f41-437f-ba6a-3db594187994&pf_rd_r=TYAYDBJPABAJBRFDFX5K&psc=1&qid=1655782717&s=apparel&sr=1-2-59a9a4b2-9534-4046-a9d7-41f10137170d-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyU1Q5UERCNkwyTVdPJmVuY3J5cHRlZElkPUEwMDk1Mjk5MzFMN1JPQUNEQzg1TCZlbmNyeXB0ZWRBZElkPUEwMTc2MDcyMlZMSjc3MUJYR0czNiZ3aWRnZXROYW1lPXNwX3NlYXJjaF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,Kancystore,33.88,4.3,0
Summer Spaghetti Strap Pleated Casual Swing Midi Dress with Belt,https://www.amazon.com/Ellames-Womens-Spaghetti-Pleated-Fuchsia/dp/B07T8MQPQR/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994%3Aamzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994&cv_ct_cx=Women%27s+Dresses&keywords=Women%27s+Dresses&pd_rd_i=B07T8MQPQR&pd_rd_r=ecc89f82-5f10-46a1-8934-cc29e820a2d4&pd_rd_w=dEa0S&pd_rd_wg=dzG29&pf_rd_p=d1fd426d-2f41-437f-ba6a-3db594187994&pf_rd_r=TYAYDBJPABAJBRFDFX5K&psc=1&qid=1655782717&s=apparel&sr=1-3-59a9a4b2-9534-4046-a9d7-41f10137170d-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyU1Q5UERCNkwyTVdPJmVuY3J5cHRlZElkPUEwMDk1Mjk5MzFMN1JPQUNEQzg1TCZlbmNyeXB0ZWRBZElkPUEwNjM0NDk0WjBCSUdXVzVJT1MxJndpZGdldE5hbWU9c3Bfc2VhcmNoX3RoZW1hdGljJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,Ellames,32.99,4.3,0
Sleeve V-Neck Printed Maxi Wrap Dress,https://www.amazon.com/Bon-Rosy-Womens-Stretchy-Printed/dp/B07BS6XQ6H/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994%3Aamzn1.sym.d1fd426d-2f41-437f-ba6a-3db594187994&cv_ct_cx=Women%27s+Dresses&keywords=Women%27s+Dresses&pd_rd_i=B07BS6XQ6H&pd_rd_r=ecc89f82-5f10-46a1-8934-cc29e820a2d4&pd_rd_w=dEa0S&pd_rd_wg=dzG29&pf_rd_p=d1fd426d-2f41-437f-ba6a-3db594187994&pf_rd_r=TYAYDBJPABAJBRFDFX5K&psc=1&qid=1655782717&s=apparel&sr=1-4-59a9a4b2-9534-4046-a9d7-41f10137170d-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyU1Q5UERCNkwyTVdPJmVuY3J5cHRlZElkPUEwMDk1Mjk5MzFMN1JPQUNEQzg1TCZlbmNyeXB0ZWRBZElkPUEwOTE5MDQ1MlkzTEVLQTRYVkZJNCZ3aWRnZXROYW1lPXNwX3NlYXJjaF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,Bon Rosy,59.89,4.3,0
Womens Sexy Wrap V Neck Sleeveless Velvet Dress Bodycon Hide Tummy Ruched Mini Party Cocktail Dress,https://www.amazon.com/TINSTREE-Womens-Sleeveless-Bodycon-Cocktail/dp/B09PG5D5QN/ref=sr_1_5?keywords=Women%27s+Dresses&qid=1655782717&s=apparel&sr=1-5,TINSTREE,29.99,4.2,0
Women's Essentials Slim Tee Dress,https://www.amazon.com/PUMA-Womens-Essentials-Festival-Fuchsia/dp/B097LX7SKG/ref=sr_1_6?keywords=Women%27s+Dresses&qid=1655782717&s=apparel&sr=1-6,PUMA,35,4.4,0
